HSNCode,Description,Length
52112290,"WOVEN FABRICS OF COTTON, CONTAINING LESS THAN 85% BY WEIGHT OF COTTON, MIXED MAINLY OR SOLELY WITH MAN-MADE FIBRES, WEIGHING MORE THAN 200 G/M2 - BLEACHED :3-THREAD OR 4-THREAD TWILL, INCLUDING CROSS TWILL :OTHER",8
52112910,"WOVEN FABRICS OF COTTON, CONTAINING LESS THAN 85% BY WEIGHT OF COTTON, MIXED MAINLY OR SOLELY WITH MAN-MADE FIBRES, WEIGHING MORE THAN 200 G/M2 - BLEACHED :OTHER FABRICS :ZARI BORDERED SARI",8
52112920,"WOVEN FABRICS OF COTTON, CONTAINING LESS THAN 85% BY WEIGHT OF COTTON, MIXED MAINLY OR SOLELY WITH MAN-MADE FIBRES, WEIGHING MORE THAN 200 G/M2 - BLEACHED :OTHER FABRICS :DEDSUTI, DOSUTI, CERETONNES AND OSAMBURGE",8
52112990,"WOVEN FABRICS OF COTTON, CONTAINING LESS THAN 85% BY WEIGHT OF COTTON, MIXED MAINLY OR SOLELY WITH MAN-MADE FIBRES, WEIGHING MORE THAN 200 G/M2 - BLEACHED :OTHER FABRICS :OTHER",8
521131,PLAIN WEAVE :,6
52113110,SHIRTING FABRICS         ,8
52113120,CANVAS (INCLUDING DUCK) OF CARDED OR COMBED YARN ,8
52113130,COATING (INCLUDING SUITINGS)      ,8
52113140,FLANNELLETTE        ,8
52113150,SAREE   ,8
52113190,OTHER   ,8
521132,"3THREAD OR 4THREAD TWILL, INCLUDING CROSS TWILL:",6
52113210,CREPE FABRICS INCLUDING CREPE CHECKS  ,8
52113220,SHIRTING FABRICS    ,8
52113230,"TWILL, NOT ELSEWHERE SPECIFIED (INCLUDING GABERDINE) ",8
52113240,TROUSERS OR PANT FABRICS (EXCLUDING JEANS AND CREPE)  ,8
52113290,OTHER     ,8
521139,OTHER FABRICS  :,6
52113910,ZARI BORDERED SAREES     ,8
52113990,OTHER     ,8
521141,PLAIN WEAVE :,6
52114110,BLEEDING MADRAS ,8
52114120,CHECK SHIRTING (EXCLUDING CREPE CHECKS) ,8
52114130,SHIRTING       ,8
52114140,SUITINGS       ,8
52114150,FLANNELETTE       ,8
52114160,SAREE       ,8
52114170,PARACHUTE FABRICS       ,8
52114190,OTHER       ,8
52114200,DENIM       ,8
521143,"OTHER FABRICS OF 3-THREAD OR 4-THREAD TWILL, INCLUDING CROSS TWILL :",6
52114310,BLEEDING MADRAS       ,8
52114320,CREPE FABRICS       ,8
52114330,SHIRTING FABRICS       ,8
52114340,SUITINGS       ,8
52114390,OTHER       ,8
521149,OTHER FABRICS  :,6
52114910,ZARI BORDERED SAREES,8
52114990,OTHER,8
521151,PLAIN WEAVE :,6
52115110,SHIRTING FABRICS       ,8
52115120,FURNISHING FABRICS (EXCLUDING PILE AND CHENILLE FABRICS) ,8
52115130,FLANNELETTE       ,8
52115140,LONG CLOTH (CHINTZ)       ,8
52115150,SAREE       ,8
52115190,OTHER       ,8
521152,"3-THREAD OR 4-THREAD TWILL, INCLUDING CROSS TWILL :",6
52115210,CREPE FABRICS INCLUDING CREPE CHECKS       ,8
52115220,SHIRTING FABRICS       ,8
52115230,"TWILL, NOT ELSEWHERE SPECIFIED (INCLUDING GABERDINE)  ",8
52115290,OTHER       ,8
521159,OTHER FABRICS :,6
52115910,ZARI BORDERED SAREE       ,8
52115990,OTHER       ,8
5212,OTHER WOVEN FABRICS OF COTTON,4
521211,UNBLEACHED,6
52121100,UNBLEACHED,8
521212,BLEACHED,6
52121200,BLEACHED,8
521213,DYED,6
52121300,DYED,8
521214,OF YARNS OF DIFFERENT COLOURS,6
52121400,OF YARNS OF DIFFERENT COLOURS,8
521215,PRINTED,6
52121500,PRINTED,8
521221,UNBLEACHED,6
52122100,UNBLEACHED,8
521222,BLEACHED,6
52122200,BLEACHED,8
521223,DYED,6
52122300,DYED,8
521224,OF YARNS OF DIFFERENT COLOURS,6
52122400,OF YARNS OF DIFFERENT COLOURS,8
521225,PRINTED,6
52122500,PRINTED,8
52805120, SAARI ,8
53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,2
5301,"FLAX, RAW OR PROCESSED BUT NOT SPUN; FLAX TOW AND WASTE (INCLUDING YARN WASTE AND GARNETTED STOCK)",4
530110,"FLAX, RAW OR RETTED",6
53011000,"FLAX, RAW OR RETTED",8
530121,BROKEN OR SCUTCHED,6
53012100,BROKEN OR SCUTCHED,8
530129,OTHER,6
53012900,OTHER,8
530130,FLAX TOW AND WASTE,6
53013000,FLAX TOW AND WASTE,8
5302,"TRUE HEMP (CANNABIS SATIVA L ), RAW OR PROCESSED BUT NOT SPUN, TOW AND WASTE OF TRUE HEMP (INCLUDING YARN WASTE AND GARNETTED STOCK)",4
530210,"TRUE HEMP, RAW OR RETTED",6
53021000,"TRUE HEMP, RAW OR RETTED",8
530290,OTHER,6
53029000,OTHER,8
5303,"JUTE AND OTHER TEXTILE BAST FIBRES (EXCLUDING FLAX, TRUE HEMP AND RAMIE), RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK)",4
530310," JUTE AND OTHER TEXTILE BAST FIBRES, RAW OR RETTED :",6
53031010," JUTE, RAW OR RETTED",8
53031090, OTHER,8
530390,- OTHER :,6
53039010, JUTE CUTTING,8
53039090, OTHER,8
5304,OMITTED,4
53041010,"SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW : SISAL FIBRE",8
53041020,"SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW : ALOE FIBRE",8
53041090,"SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW : OTHER",8
53049000,"SISAL AND OTHER TEXTILE FIBRES OF THE GENUS AGAVE, RAW OR PROCESSED BUT NOT SPUN; TOW AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OTHER",8
5305,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILES NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETED STOCK)",4
530500,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN, TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETED STOCK):",6
53050010,"COIR BRISTLES FIBRE, COIR MATTRESS FIBRE, COIR SHORT FIBRE, COIR BIT FIBRE, DECORTICATED COIR FIBRE ",8
53050030,CURLED OR MACHINE TWISTED COIR FIBRE,8
53050040,"COIR PITH, PROCESSED IN VALUE ADDED FORM LIKE BRIQUETTE, COINS, NEO DISC, GROW BAGS, ORGANIC MANURE AND IN LOOSE FORM FOR USE IN HORTICULTURE OR AGRICULTURE.",8
53050050,OF ABACA,8
53050090,OF OTHERS,8
53051110,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (COIR) : RAW : COIR BRISTLE FIBRE",8
53051120,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (COIR) : RAW : COIR MATTRESS FIBRE",8
53051130,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (COIR) : RAW : CURLED OR MACHINE TWISTED COIR FIBRE",8
53051140,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (COIR) : RAW : COIR PITH",8
53051190,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (COIR) :RAW : OTHER",8
53051900,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF COCONUT (COIR) :OTHER:",8
53052100,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF ABACA : RAW",8
53052900,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OF ABACA :OTHER",8
53059010,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OTHER : RAMIE OR CHINA GRASS",8
53059090,"COCONUT, ABACA (MANILA HEMP OR MUSA TEXTILIS NEE), RAMIE AND OTHER VEGETABLE TEXTILE FIBRES, NOT ELSEWHERE SPECIFIED OR INCLUDED, RAW OR PROCESSED BUT NOT SPUN; TOW, NOILS AND WASTE OF THESE FIBRES (INCLUDING YARN WASTE AND GARNETTED STOCK) OTHER :OTHER",8
5306,FLAX YARN,4
530610,SINGLE :,6
53061010,PUT UP FOR RETAIL SALE,8
53061090,OTHER,8
530620,MULTIPLE (FOLDED) OR CABLED :,6
53062010,PUT UP FOR RETAIL SALE,8
53062090,OTHER,8
5307,YARN OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5303,4
530710,SINGLE :,6
53071010,OF JUTE,8
53071090,OTHER,8
530720,MULTIPLE (FOLDED) OR CABLED,6
53072000,MULTIPLE (FOLDED) OR CABLED,8
5308,YARN OF OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN,4
530810,COIR YARN :,6
53081010,BALED,8
53081020,SPOOLED HANKS,8
53081090,OTHER,8
530820,TRUE HEMP YARN,6
53082000,TRUE HEMP YARN,8
530890,OTHER :,6
53089010,RAMIE YARN,8
53089090,OTHER,8
5309,WOVEN FABRICS OF FLAX,4
530911,UNBLEACHED OR BLEACHED :,6
53091110,UNBLEACHED,8
53091120,BLEACHED,8
530919,OTHER :,6
53091910,DYED,8
53091920,PRINTED,8
53091990,OTHER,8
530921,UNBLEACHED OR BLEACHED :,6
53092110,UNBLEACHED ,8
53092120,BLEACHED ,8
530929,OTHER :,6
53092910,DYED ,8
53092920,PRINTED ,8
53092990,OTHER ,8
5310,WOVEN FABRICS OF JUTE OR OF OTHER TEXTILE BAST FIBRES OF HEADING 5302,4
531010,UNBLEACHED :,6
53101011,CARPET BACKING FABRICS ,8
53101012,SACKING FABRICS ,8
53101013,HESSIAN FABRICS ,8
53101014,JUTE CANVAS ,8
53101019,OTHER ,8
53101091,WOVEN BLENDED FABRICS CONTAINING MORE THAN 50% BY WEIGHT OF JUTE,8
53101092,STRANDED WOVEN FABRICS OF JUTE CONTAINING 50% OR MORE BY WEIGHT OF JUTE,8
53101093,JUTE SWIM FABRICS ,8
53101099,OTHER ,8
531090,OTHER :,6
53109010,BLEACHED ,8
53109020,DECORATIVE FABRICS ,8
53109091,BLEACHED ,8
53109092,DYED ,8
53109093,PRINTED ,8
53109099,OTHER ,8
5311,WOVEN FABRICS OF OTHER VEGETABLE TEXTILE FIBRES; WOVEN FABRICS OF PAPER YARN,4
531100,"WOVEN FABRICS OF OTHER VEGETABLE TEXTILE FIBRES, WOVEN FABRICS OF PAPER YARN :",6
53110011,UNBLEACHED,8
53110012,BLEACHED,8
53110013,DYED,8
53110014,PRINTED,8
53110015,OF COIR INCLUDING LOG FORM AND GEOTEXTILES,8
53110019,OTHER,8
53110021,UNBLEACHED,8
53110022,BLEACHED,8
53110023,DYED,8
53110024,PRINTED,8
53110029,OTHER,8
54,Man-made filaments; strip and the like of man-made textile materials,2
5401,"SEWING THREAD OF MAN-MADE FILAMENTS, WHETHER OR NOT PUT UP FOR RETAIL SALE",4
540110, OF SYNTHETIC FILAMENTS,6
54011000, OF SYNTHETIC FILAMENTS,8
540120, OF ARTIFICIAL FILAMENTS,6
54012000, OF ARTIFICIAL FILAMENTS,8
5402,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX",4
54021010,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES : NYLON TYRE YARN",8
54021090,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES : OTHER",8
540211,OF ARAMIDS :,6
54021100,OF ARAMIDS,8
54021110,HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES,8
540219,OTHER,6
54021910,NYLON TYRE YARN,8
54021920,Nylon 66 filament yarn confirming to IS 13464,8
54021990,OTHER,8
540220,"HIGH TENACITY YARN OF POLYESTERS, WHETHER OR NOT TEXTURED:",6
54022010,OF TERYLENE DACRON,8
54022090,OTHER,8
540231,"OF NYLON OR OTHER POLYAMIDES, MEASURING PER SINGLE YARN NOT MORE THAN 50 TEX",6
54023100,"OF NYLON OR OTHER POLYAMIDES, MEASURING PER SINGLE YARN NOT MORE THAN 50 TEX",8
540232,"OF NYLON OR OTHER POLYAMIDES, MEASURING PER SINGLE YARN MORE THAN 50 TEX",6
54023200,"OF NYLON OR OTHER POLYAMIDES, MEASURING PER SINGLE YARN MORE THAN 50 TEX",8
540233,OF POLYESTERS,6
54023300,OF POLYESTERS,8
540234,OF POLYPROPYLENE,6
54023400,OF POLYPROPYLENE,8
540239,OTHER :,6
54023910,POLYPROPYLENE FILAMENT YARN,8
54023920,ACRYLIC FILAMENT YARN,8
54023990,OTHER,8
54024100,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF NYLON OR OTHER POLYAMIDES",8
54024200,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF POLYESTERS, PARTIALLY ORIENTED",8
54024300,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, UNTWISTED OR WITH A TWIST NOT EXCEEDING 50 TURNS PER METRE : OF POLYESTERS, OTHER",8
540244,ELASTOMERIC,6
54024400,ELASTOMERIC,8
540245,"OTHER, OF NYLON OR OTHER POLYAMIDES",6
54024500,"OTHER, OF NYLON OR OTHER POLYAMIDES",8
540246,"OTHER, OF POLYESTERS, PARTIALLY ORIENTED",6
54024600,"OTHER, OF POLYESTERS, PARTIALLY ORIENTED",8
540247,"OTHER, OF POLYESTERS",6
54024700,"OTHER, OF POLYESTERS",8
540248,"OTHER, OF POLYPROPYLENE",6
54024800,"OTHER, OF POLYPROPYLENE",8
540249,OTHER,6
54024900,OTHER,8
540251,OF NYLON OR OTHER POLYAMIDES,6
54025100,OF NYLON OR OTHER POLYAMIDES,8
540252,Of polyesters:,6
54025200,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, WITH A TWIST EXCEEDING 50 TURNS PER METRE : OF POLYESTERS",8
54025210,Polyester yarn-Anti Static Filament,8
54025290,Other,8
540253,OF POLYPROPYLENE,6
54025300,Of polypropylene,8
540259,OTHER :,6
54025900,OTHER,8
54025910,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, WITH A TWIST EXCEEDING 50 TURNS PER METRE : OTHER : POLYPROPYLENE FILAMENT YARN",8
54025990,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, SINGLE, WITH A TWIST EXCEEDING 50 TURNS PER METRE : OTHER : OTHER",8
540261,OF NYLON OR OTHER POLYAMIDES,6
54026100,OF NYLON OR OTHER POLYAMIDES,8
540262,OF POLYESTERS,6
54026200,OF POLYESTERS,8
540263,OF POLYPROPYLENE,6
54026300,Of polypropylene,8
540269,OTHER :,6
54026910,POLYVINYL ACETATE FILAMENT YARN,8
54026920,POLYVINYL CHLORIDE FILAMENT YARN,8
54026930,"SYNTHETIC FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT UP FOR RETAIL SALE, INCLUDING SYNTHETIC MONOFILAMENT OF LESS THAN 67 DECITEX OTHER YARN, MULTIPLE (FOLDED) OR CABLED : OTHER :POLYPROPYLENE FILAMENT YARN",8
54026940,ACRYLIC FILAMENT YARN,8
54026950,POLYTETRAFLUOROETHYLENE YARN,8
54026960,Ultra high molecular weight poly ethylene filament yarn conforming to ASTM F2848,8
54026990,OTHER,8
5403,"ARTIFICIAL FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT FOR RETAIL SALE, INCLUDING ARTIFICIAL MONO FILAMENT OF LESS THAN 67 DECITEX",4
540310,HIGH TENACITY YARN OF VISCOSE RAYON :,6
54031010,"VISCOSE RAYON TYRE YARN – 1,233 DECITEX",8
54031020,"VISCOSE RAYON TYRE YARN – 1,833 DECITEX",8
54031090,OTHER,8
54032000,"ARTIFICIAL FILAMENT YARN (OTHER THAN SEWING THREAD), NOT PUT FOR RETAIL SALE, INCLUDING ARTIFICIAL MONO FILAMENT OF LESS THAN 67 DECITEX TEXTURED YARN :",8
540331,"OF VISCOSE RAYON, UNTWISTED OR WITH A TWIST",6
54033100,"OF VISCOSE RAYON, UNTWISTED OR WITH A TWIST NOT EXCEEDING 120 TURNS PER METRE",8
540332,"OF VISCOSE RAYON, WITH A TWIST EXCEEDING",6
54033200,"OF VISCOSE RAYON, WITH A TWIST EXCEEDING 120 TURNS PER METRE",8
540333,OF CELLULOSE ACETATE,6
54033300,OF CELLULOSE ACETATE,8
540339,OTHER :,6
54033910,CUPRAMMONIUM RAYON,8
54033990,OTHER,8
540341,OF VISCOSE RAYON :,6
54034110,UP TO 67 DECITEX,8
54034120,OF 83 DECITEX,8
54034130,"OF 111 DECITEX, BRIGHT",8
54034140,"OF 111 DECITEX, DULL",8
54034150,"OF 133 DECITEX, BRIGHT",8
54034160,"OF 133 DECITEX, DULL",8
54034170,"OF 167 DECITEX, BRIGHT",8
54034180,"OF 167 DECITEX, DULL",8
54034190,OTHER,8
540342,OF CELLULOSE ACETATE :,6
54034210,"ACETATE RAYON FILAMENT YARN, 83 DECITEX",8
54034220,"ACETATE RAYON FILAMENT YARN, 111 DECITEX",8
54034230,"ACETATE RAYON FILAMENT YARN, 133 DECITEX",8
54034240,"ACETATE RAYON FILAMENT YARN, 167 DECITEX",8
54034250,"ACETATE RAYON FILAMENT YARN, 333 DECITEX",8
54034290,OTHER,8
540349,OTHER :,6
54034911,OF 33 DECITEX,8
54034912,OF 44 DECITEX,8
54034913,OF 67 DECITEX,8
54034914,OF 83 DECITEX,8
54034915,OF 89 DECITEX,8
54034919,OTHER,8
54034990,OTHER,8
5404,"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM, STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETICTEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM",4
54041000,"SYNTHETIC MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF SYNTHETIC TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM MONOFILAMENT",8
540411,ELASTOMERIC,6
54041100,ELASTOMERIC,8
540412,"OTHER, OF POLYPROPYLENE",6
54041200,"OTHER, OF POLYPROPYLENE",8
540419,OTHER:,6
54041910,"CATGUT IMITATION OF SYNTHETIC YARN, NON-STERILE",8
54041920,STRIP AND THE LIKE OF SYNTHETIC FIBRE MATERIAL,8
54041990,OTHER,8
540490,OTHER :,6
54049010,"CATGUT IMITATION OF SYNTHETIC YARN, NON-STERILE",8
54049020,STRIP AND THE LIKE OF SYNTHETIC FIBRE MATERIALS,8
54049090,OTHER,8
5405,"ARTIFICIAL MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF ARTIFICIAL TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM",4
540500,"ARTIFICIAL MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM, STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF ARTIFICIAL TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM",6
54050000,"ARTIFICIAL MONOFILAMENT OF 67 DECITEX OR MORE AND OF WHICH NO CROSS-SECTIONAL DIMENSION EXCEEDS 1 MM; STRIP AND THE LIKE (FOR EXAMPLE, ARTIFICIAL STRAW) OF ARTIFICIAL TEXTILE MATERIALS OF AN APPARENT WIDTH NOT EXCEEDING 5 MM",8
5406,"MAN-MADE FILAMENT YARN (OTHER THAN SEWING THREAD), PUT UP FOR RETAIL SALE ",4
540600,SYNTHETIC FILAMENT YARN,6
54060010,SYNTHETIC FILAMENT YARN,8
54060020,ARTIFICIAL FILAMENT YARN,8
54061000,"MAN-MADE FILAMENT YARN (OTHER THAN SEWING THREAD), PUT UP FOR RETAIL SALE SYNTHETIC FILAMENT YARN",8
54062000,"MAN-MADE FILAMENT YARN (OTHER THAN SEWING THREAD), PUT UP FOR RETAIL SALE ARTIFICIAL FILAMENT YARN",8
5407,"WOVEN FABRICS OF SYNTHETIC FILAMENT YARN, INCLUDING WOVEN FABRICS OBTAINED FROM MATERIALS OF HEADING 5404",4
540710,WOVEN FABRICS OBTAINED FROM HIGH TENACITY YARN OF NYLON OR OTHER POLYAMIDES OR OF POLYESTERS :,6
54071011,PARACHUTE FABRICS ,8
54071012,TENT FABRICS ,8
54071013,NYLON FURNISHING FABRICS ,8
54071014,UMBRELLA CLOTH PANEL FABRICS ,8
54071015,OTHER NYLON AND POLYAMIDE FABRICS (FILAMENT) ,8
54071016,POLYESTER SUITINGS ,8
54071019,OTHER POLYESTER FABRICS ,8
54071021,PARACHUTE FABRICS  ,8
54071022,TENT FABRICS ,8
54071023,NYLON FURNISHING FABRICS ,8
54071024,UMBRELLA CLOTH PANEL FABRICS ,8
54071025,OTHER NYLON AND POLYAMIDE FABRICS OF FILAMENT YARN,8
54071026,POLYESTER SUITINGS  ,8
54071029,OTHER ,8
54071031,PARACHUTE FABRICS ,8
54071032,TENT FABRICS  ,8
54071033,NYLON FURNISHING FABRICS ,8
54071034,UMBRELLA CLOTH PANEL FABRICS ,8
54071035,OTHER NYLON AND POLYAMIDE FABRICS (FILAMENT)                                                                   ,8
54071036,POLYESTER SUITINGS ,8
54071039,OTHER,8
54071041,PARACHUTE FABRICS,8
54071042,TENT FABRICS,8
54071043,NYLON FURNISHING FABRICS,8
54071044,UMBRELLA CLOTH PANEL FABRICS,8
54071045,OTHER NYLON AND POLYAMIDE FABRICS (FILAMENT),8
54071046,POLYESTER SUITINGS,8
54071049,OTHER,8
54071091,PARACHUTE FABRICS,8
54071092,TENT FABRICS,8
54071093,NYLON FURNISHING FABRICS,8
54071094,UMBRELLA CLOTH PANEL FABRICS,8
54071095,OTHER NYLON AND POLYAMIDE FABRICS OF FILAMENT YARN ,8
54071096,POLYESTER SUITINGS,8
54071099,OTHER,8
540720,WOVEN FABRICS OBTAINED FROM STRIP OR THE LIKE :,6
54072010,UNBLEACHED,8
54072020,BLEACHED,8
54072030,DYED,8
54072040,PRINTED,8
54072090,OTHER,8
540730,Fabrics specified in Note 9 to Section XI,6
54073010,UNBLEACHED,8
54073020,BLEACHED,8
54073030,DYED,8
54073040,PRINTED ,8
54073090,OTHER ,8
540741,UNBLEACHED OR BLEACHED :,6
54074111,NYLON BRASSO,8
54074112,NYLON GEORGETTE,8
54074113,NYLON TAFETTA,8
54074114,NYLON SAREES,8
54074119,OTHER,8
54074121,NYLON BRASSO,8
54074122,NYLON GEORGETTE,8
54074123,NYLON TAFETTA,8
